family,N,seed,n_train,n_val,n_test,epochs,batch_size,final_batch_size,best_epoch,learning_rate,test_mae_eV_per_atom,train_mae_eV_per_atom,val_best_l1,device,elapsed_seconds,summary_path
oxide,50,2,45,5,1484,50,16,16,32,0.0001,0.0365753312153689,0.011464537845717536,0.008192014880478382,cuda,76.74199676513672,results/protocol_1/oxide/N50_seed2/finetune_last2/summary.json
oxide,50,3,45,5,1484,50,16,16,27,0.0001,0.036241260656711675,0.008496906815303696,0.0184724573045969,cuda,50.5656840801239,results/protocol_1/oxide/N50_seed3/finetune_last2/summary.json
oxide,50,4,45,5,1484,50,16,16,10,0.0001,0.04002822036217933,0.019530428780449763,0.03210277482867241,cuda,49.7069890499115,results/protocol_1/oxide/N50_seed4/finetune_last2/summary.json
oxide,100,0,90,10,1484,50,16,16,23,0.0001,0.03635439455507303,0.01052455206712087,0.012374699115753174,cuda,88.45945048332214,results/protocol_1/oxide/N100_seed0/finetune_last2/summary.json
oxide,100,1,90,10,1484,50,16,16,33,0.0001,0.036676712370084755,0.014432345206538836,0.011271334253251553,cuda,90.17555642127991,results/protocol_1/oxide/N100_seed1/finetune_last2/summary.json
oxide,100,2,90,10,1484,50,16,16,49,0.0001,0.03701010250597515,0.009610139909717772,0.0077558220364153385,cuda,89.39351439476013,results/protocol_1/oxide/N100_seed2/finetune_last2/summary.json
oxide,100,3,90,10,1484,50,16,16,26,0.0001,0.03604405455249224,0.00933281249470181,0.01390132773667574,cuda,58.248607873916626,results/protocol_1/oxide/N100_seed3/finetune_last2/summary.json
oxide,100,4,90,10,1484,50,16,16,14,0.0001,0.038285568407504515,0.012268544185078806,0.027794066816568375,cuda,57.69627022743225,results/protocol_1/oxide/N100_seed4/finetune_last2/summary.json
oxide,200,0,180,20,1484,50,16,16,28,0.0001,0.036765041385339245,0.009074553267823325,0.01850808784365654,cuda,112.94345045089722,results/protocol_1/oxide/N200_seed0/finetune_last2/summary.json
oxide,200,1,180,20,1484,50,16,16,23,0.0001,0.03638788056450035,0.013920694030821324,0.006827075965702534,cuda,114.54152417182922,results/protocol_1/oxide/N200_seed1/finetune_last2/summary.json
oxide,200,2,180,20,1484,50,16,16,15,0.0001,0.036470926337407256,0.011731653628844974,0.007606213912367821,cuda,112.23990774154663,results/protocol_1/oxide/N200_seed2/finetune_last2/summary.json
oxide,200,3,180,20,1484,50,16,16,40,0.0001,0.0361465084100722,0.007328081876039505,0.013465349562466145,cuda,75.85002660751343,results/protocol_1/oxide/N200_seed3/finetune_last2/summary.json
oxide,200,4,180,20,1484,50,16,16,38,0.0001,0.03713763155111531,0.006962482713990741,0.019353017210960388,cuda,76.64601063728333,results/protocol_1/oxide/N200_seed4/finetune_last2/summary.json
oxide,500,0,450,50,1484,50,16,16,31,0.0001,0.036267172872318544,0.008196091087948944,0.01034568902105093,cuda,180.73435354232788,results/protocol_1/oxide/N500_seed0/finetune_last2/summary.json
oxide,500,1,450,50,1484,50,16,16,7,0.0001,0.036367783665116074,0.015314106254114045,0.02211898611858487,cuda,184.763254404068,results/protocol_1/oxide/N500_seed1/finetune_last2/summary.json
oxide,500,2,450,50,1484,50,16,16,18,0.0001,0.03593068712060227,0.008420978440747906,0.008847424061968923,cuda,183.53601050376892,results/protocol_1/oxide/N500_seed2/finetune_last2/summary.json
oxide,500,3,450,50,1484,50,16,16,28,0.0001,0.03617321007594471,0.008500465166030658,0.011019670171663165,cuda,127.95030188560486,results/protocol_1/oxide/N500_seed3/finetune_last2/summary.json
oxide,500,4,450,50,1484,50,16,16,50,0.0001,0.036199952702438386,0.006217588557758265,0.0118500255048275,cuda,126.86277937889099,results/protocol_1/oxide/N500_seed4/finetune_last2/summary.json
oxide,1000,0,900,100,1484,50,16,16,34,0.0001,0.035983783924215376,0.007546961915472316,0.012278905670557703,cuda,294.53138518333435,results/protocol_1/oxide/N1000_seed0/finetune_last2/summary.json
oxide,1000,1,900,100,1484,50,16,16,13,0.0001,0.03614292015472798,0.010711588176588217,0.017037396053118364,cuda,301.54263496398926,results/protocol_1/oxide/N1000_seed1/finetune_last2/summary.json
oxide,1000,2,900,100,1484,50,16,16,23,0.0001,0.0359479886665752,0.008775754202441829,0.010852388904563018,cuda,303.27794575691223,results/protocol_1/oxide/N1000_seed2/finetune_last2/summary.json
oxide,1000,3,900,100,1484,50,16,16,27,0.0001,0.035967013940015544,0.00974812548659328,0.012819361473832811,cuda,216.23325538635254,results/protocol_1/oxide/N1000_seed3/finetune_last2/summary.json
oxide,1000,4,900,100,1484,50,16,16,44,0.0001,0.03581004907678928,0.007426757268711097,0.009569591443453516,cuda,216.4625895023346,results/protocol_1/oxide/N1000_seed4/finetune_last2/summary.json
