id,description,family,protocol,N,seed,metric_name,value_display,units,source_path,selector
P1-C2-SET2-OXIDE-N10-SEED4-MAE,seed_value,oxide,protocol_2,10,4,test_mae,0.03432,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""oxide"",""seed"":""4""}}"
P1-C2-SET2-OXIDE-N10-STD_TEST_MAE_EV_PER_ATOM,sample_sd,oxide,protocol_2,10,,std_test_mae_eV_per_atom,0.00318,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""std_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N10-TRANSFER_GAIN_VS_ZERO_SHOT,difference,oxide,protocol_2,10,,transfer_gain_vs_zero_shot,-0.00258,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""transfer_gain_vs_zero_shot"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N100-MEAN_BEST_EPOCH,mean,oxide,protocol_2,100,,mean_best_epoch,37.2,epoch,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_best_epoch"",""type"":""csv_cell"",""where"":{""N"":""100"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N100-MEAN_TEST_MAE_EV_PER_ATOM,mean,oxide,protocol_2,100,,mean_test_mae_eV_per_atom,0.03802,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""100"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N100-SEED0-MAE,seed_value,oxide,protocol_2,100,0,test_mae,0.03648,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""100"",""family"":""oxide"",""seed"":""0""}}"
P1-C2-SET2-OXIDE-N100-SEED1-MAE,seed_value,oxide,protocol_2,100,1,test_mae,0.04120,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""100"",""family"":""oxide"",""seed"":""1""}}"
P1-C2-SET2-OXIDE-N100-SEED2-MAE,seed_value,oxide,protocol_2,100,2,test_mae,0.03754,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""100"",""family"":""oxide"",""seed"":""2""}}"
P1-C2-SET2-OXIDE-N100-SEED3-MAE,seed_value,oxide,protocol_2,100,3,test_mae,0.03630,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""100"",""family"":""oxide"",""seed"":""3""}}"
P1-C2-SET2-OXIDE-N100-SEED4-MAE,seed_value,oxide,protocol_2,100,4,test_mae,0.03856,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""100"",""family"":""oxide"",""seed"":""4""}}"
