dataset,dataset_label,embedding_source,embedding_dim,metric_name,metric_scope,value,ci_low,ci_high,ci_level,ci_method,higher_is_better,n_structures,n_oxide,n_nitride,vector_space,raw_space_primary,projected_space,preprocessing,parameters,scenario,source_seed,majority_label_baseline
fixed_test_set,Fixed test set,last_alignn_pool,256,davies_bouldin_index,overall_family_labels,1.7677941527267338,1.679458534239358,1.8463592917439995,0.94999999999999996,stratified_bootstrap_recomputed_index,False,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",pure_oxide_filtered,43,0.8550029958058718
fixed_test_set,Fixed test set,last_alignn_pool,256,knn_family_purity,overall_family_labels,0.97423606950269626,0.96896345116836446,0.97934891152386661,0.94999999999999996,stratified_bootstrap_over_per_structure_purity_values,True,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",pure_oxide_filtered,43,0.8550029958058718
fixed_test_set,Fixed test set,last_alignn_pool,256,knn_family_purity,oxide,0.99117028731604773,0.98836603597290351,0.9938799345947209,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",pure_oxide_filtered,43,0.8550029958058718
fixed_test_set,Fixed test set,last_alignn_pool,256,knn_family_purity,nitride,0.87438016528925633,0.84351928374655638,0.90606749311294765,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",pure_oxide_filtered,43,0.8550029958058718
fixed_test_set,Fixed test set,last_alignn_pool,256,logistic_regression_family_auc,overall_family_labels,0.99996814677963941,0.99988996160239074,1,0.94999999999999996,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,1669,1427,242,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}",pure_oxide_filtered,43,0.8550029958058718
fixed_test_set,Fixed test set,last_gcn_pool,256,silhouette_score,overall_family_labels,0.19049933356585569,0.18207384573046767,0.19934343353913569,0.94999999999999996,stratified_bootstrap_over_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,44,0.85979142526071839
fixed_test_set,Fixed test set,last_gcn_pool,256,silhouette_score,oxide,0.18519537470734157,0.17544974455787304,0.19493767248066718,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,44,0.85979142526071839
fixed_test_set,Fixed test set,last_gcn_pool,256,silhouette_score,nitride,0.22302443664864477,0.20661163997691881,0.23767775662530299,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,44,0.85979142526071839
fixed_test_set,Fixed test set,last_gcn_pool,256,davies_bouldin_index,overall_family_labels,1.6936503655060886,1.6081246901124844,1.7798550506413358,0.94999999999999996,stratified_bootstrap_recomputed_index,False,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,44,0.85979142526071839
fixed_test_set,Fixed test set,last_gcn_pool,256,knn_family_purity,overall_family_labels,0.95770567786790262,0.95156334492081895,0.96319235225955968,0.94999999999999996,stratified_bootstrap_over_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,44,0.85979142526071839
